"COLECTIVO","PROGRAMA","CIF","ENTIDAD","PROYECTO","IMPORTE",,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","Q-02866001-G","CRUZ ROJA ESPAÑOLA","TRANSPORTE EN VEHÍCULOS ADAPTADOS",4414100,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-80245780","DOWN ESPAÑA-FEDERACIÓN ESPAÑOLA DE INSTITUCIONES PARA EL SÍNDROME DE DOWN","INVERSIONES",1086000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-08803801","FEDERACIÓN ECOM","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA",2105000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-81104291","FEDERACIÓN ESPAÑOLA DE ASOCIACIONES DE PADRES/TUTORES DE PERSONAS CON AUTISMO","CENTROS DE ATENCIÓN",329000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-41792284","FEDERACIÓN ESPAÑOLA DE DAÑO CEREBRAL","CENTROS DE TRATAMIENTOS PARA PERSONAS CON DAÑO CEREBRAL ADQUIRIDO",1266000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","V-81786329","FEDERACIÓN ESPAÑOLA DE PÁRKINSON","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA",443000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-64948417","FEDERACIÓN ESPAÑOLA DE SORDOCEGUERA","HABILITACIÓN DE LOCALES PARA SERVICIOS ESPECIALIZADOS A PERSONAS CON SORDOCEGUERA",64000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-45018744","FEDERACIÓN NACIONAL ASPAYM (ASOCIACIÓN DE PARAPLÉJICOS Y GRANDES DISCAPACITADOS FÍSICOS)","CENTRO DE TRATAMIENTO INTEGRAL PARA PERSONAS CON LESIÓN MEDULAR Y GRAN DISCAPACIDAD FÍSICA",500000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-15546484","FUNDACIÓN ADCOR","2ª FASE-FINALIZACIÓN CONSTRUCCIÓN DE UNA RESIDENCIA Y CENTRO DE ATENCIÓN DIURNA",250000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-82380478","FUNDACIÓN APASCOVI","OBRAS DE MEJORA DE LA ACCESIBILIDAD Y EQUIPAMIENTO DE LA RESIDENCIA Y CENTRO DE ATENCIÓN DIURNA PARA PERSONAS CON DISCAPACIDAD GRAVEMENTE AFECTADAS",145000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-81985558","FUNDACIÓN APROCOR","CENTROS DE ATENCIÓN DIURNA PARA PERSONAS CON DISCAPACIDAD INTELECTUAL",300000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-91397570","FUNDACIÓN CRUZ BLANCA","PROGRAMA PARA PERSONAS CON DISCAPACIDAD",28000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-27293505","FUNDACIÓN DE DAÑO CEREBRAL","RESIDENCIA DAÑO CEREBRAL",300000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-83160416","FUNDACIÓN GARCÍA GIL AFANDEM","ADECUACIÓN, MEJORA DE LA ESTRUCTURA Y ELIMINACIÓN DE BARRERAS PARA CENTRO RESIDENCIAL",130000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-78519303","FUNDACIÓN JUAN CIUDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA",2278000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-78280880","FUNDACIÓN JUAN XXIII ATENCIÓN AL MINUSVÁLIDO","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA",230000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-47627906","FUNDACIÓN PERSONAS","REFORMA DEL CENTRO DE DÍA VIANA (FASE II)",100000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-80229156","FUNDACIÓN PRO-DISCAPACITADOS DEL CUERPO NACIONAL DE POLICÍA","RESIDENCIA FUNDAMIFP: MEDIDAS DE ADAPTACIÓN Y ACCESIBILIDAD EN PRIMERA PLANTA",35000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-34125534","FUNDACIÓN SAN CEBRIÁN","TIEMPO DE AUTONOMÍA, TIEMPO DE COMPAÑÍA: OBRAS DE AMPLIACIÓN, REFORMA Y SU EQUIPAMIENTO EN EL CENTRO RESIDENCIAL DE PERSONAS ENVEJECIDAS CON DISCAPACIDAD INTELECTUAL DENOMINADO HOGARES DE MAYORES",100000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","G-50630961","FUNDACIÓN VIRGEN DEL PUEYO","FIN DE OBRA Y EQUIPAMIENTO FINAL DE SERVICIOS RESIDENCIALES, TERAPÉUTICOS Y DE REHABILITACIÓN",230000,,,
"PERSONAS CON DISCAPACIDAD","CENTROS DE ATENCIÓN DIURNA, CENTROS RESIDENCIALES Y VIVIENDAS TUTELADAS O DE CONVIVENCIA","R-02801081-G","HIJAS DE SANTA MARIAH DE LA PROVIDENCIA","CONSTRUCCIÓN VIVIENDA TUTELADA ""CASA CLARA""",500000,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-80899636","ASOCIACIÓN ESPAÑOLA DE PADRES DE SORDOCIEGOS","APOYO A FAMILIAS CUIDADORAS CON HIJOS SORDOCIEGOS",100200,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","R-02800560-A","CÁRITAS ESPAÑOLA","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD",93000,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-80834443","CONFEDERACIÓN AUTISMO-ESPAÑA","INTERVENCIÓN DIRECTA CON LA FAMILIA QUE INCORPOREN SERVICIOS DE INFORMACIÓN Y ORIENTACIÓN Y SERVICIOS DE APOYO PSICO-SOCIAL",42000,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-80834443","CONFEDERACIÓN AUTISMO-ESPAÑA","SERVICIOS DE RESPIRO",680000,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-28738185","CONFEDERACIÓN ESPAÑOLA DE FAMILIAS DE PERSONAS SORDAS","ATENCIÓN Y APOYO A FAMILIAS DE PERSONAS CON DISCAPACIDAD AUDITIVA",679000,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-46245247","CONFEDERACIÓN ESPAÑOLA DE AGRUPACIONES DE FAMILIARES Y PERSONAS CON ENFERMEDAD MENTAL","INTERVENCIÓN FAMILIAR: ESCUELA DE FAMILIAS/ AYUDA MUTUA",193272,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-46245247","CONFEDERACIÓN ESPAÑOLA DE AGRUPACIONES DE FAMILIARES Y PERSONAS CON ENFERMEDAD MENTAL","RESPIRO FAMILIAR",15560,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-31162985","CONFEDERACIÓN ESPAÑOLA DE FEDERACIONES Y ASOCIACIONES DE ATENCIÓN A LAS PERSONAS CON PARÁLISIS CEREBRAL Y AFINES","RESPIRO PARA FAMILIAS CON PERSONAS CON PARÁLISIS CEREBRAL EN SITUACIÓN DE DEPENDENCIA",36000,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-28452696","CONFEDERACIÓN ESPAÑOLA DE ORGANIZACIONES EN FAVOR DE LAS PERSONAS CON DISCAPACIDAD INTELECTUAL","APOYO A FAMILIARES DE PERSONAS CON DISCAPACIDAD INTELECTUAL",2656800,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-28681955","CONFEDERACIÓN ESPAÑOLA DE PERSONAS CON DISCAPACIDAD FÍSICA Y ORGÁNICA","DESCANSO FAMILIAR",20000,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-28681955","CONFEDERACIÓN ESPAÑOLA DE PERSONAS CON DISCAPACIDAD FÍSICA Y ORGÁNICA","INTERVENCIÓN CON FAMILIAS",101000,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-28681955","CONFEDERACIÓN ESPAÑOLA DE PERSONAS CON DISCAPACIDAD FÍSICA Y ORGÁNICA","SERVICIOS TRANSITORIOS DE ALOJAMIENTO",55000,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","R-02800108-I","CONGREGACIÓN DE HERMANAS HOSPITALARIAS DEL SAGRADO CORAZÓN DE JESÚS","AUTOAPOYO, FORMACIÓN Y RESPIRO A FAMILIAS QUE TIENEN A CARGO PERSONAS CON DISCAPACIDAD GRAVEMENTE AFECTADAS",32400,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-46551255","COORDINADORA DE DISCAPACITADOS FÍSICOS DE LA COMUNIDAD VALENCIANA","APOYO A FAMILIAS CON PERSONAS CON DISCAPACIDAD A SU CARGO",17200,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-80245780","DOWN ESPAÑA-FEDERACIÓN ESPAÑOLA DE INSTITUCIONES PARA EL SÍNDROME DE DOWN","ATENCIÓN A FAMILIAS",381250,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-08803801","FEDERACIÓN ECOM","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO, Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD",15000,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-81104291","FEDERACIÓN ESPAÑOLA DE ASOCIACIONES DE PADRES/TUTORES DE PERSONAS CON AUTISMO","RESPIRO FAMILIAR",175390,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-41792284","FEDERACIÓN ESPAÑOLA DE DAÑO CEREBRAL","INFORMACIÓN Y APOYO A LAS FAMILIAS AFECTADAS POR DAÑO CEREBRAL ADQUIRIDO",236000,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-91018549","FEDERACIÓN ESPAÑOLA DE ENFERMEDADES RARAS","SERVICIO DE INFORMACIÓN Y ORIENTACIÓN EN ENFERMEDADES RARAS – OBSER",200000,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-81414328","FEDERACIÓN ESPAÑOLA DE TRASPLANTADOS DE CORAZÓN","VIVIENDAS ACOGIDA PARA TRASPLANTADOS, PERSONAS EN LISTA DE ESPERA Y FAMILIARES",25000,,,
"PERSONAS CON DISCAPACIDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD","G-78519303","FUNDACIÓN JUAN CIUDAD","ATENCIÓN NOCTURNA, SERVICIOS DE RESPIRO Y APOYO A FAMILIAS QUE TIENEN A SU CARGO PERSONAS CON DISCAPACIDAD",78380,,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","R-02801739-J","ADORATRICES ESCLAVAS DEL SANTÍSIMO SACRAMENTO Y DE LA CARIDAD. PROVINCIA ESPAÑA. CURIA PROVINCIAL.","REINSERCIÓN DE MUJERES DROGODEPENDIENTES FONTARRÓN MADRID","34332,98",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","R-02801739-J","ADORATRICES ESCLAVAS DEL SANTÍSIMO SACRAMENTO Y DE LA CARIDAD. PROVINCIA ESPAÑA. CURIA PROVINCIAL.","PROGRAMA TERAPÉUTICO-EDUCATIVO PARA MUJERES DROGODEPENDIENTES","23043,15",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-78460268","ASOCIACIÓN EPSILON","PISO DE ACOGIDA","106325,28",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-59970657","ASOCIACIÓN INSTITUTO PARA LA PROMOCIÓN SOCIAL Y DE LA SALUD IPSS","CENTRO DE DÍA PARA DROGODEPENDIENTES ""EL LOCAL""","111832,65",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-04143806","ASOCIACIÓN NOESSO (NO ESTÁS SOLO)","COMUNIDAD TERAPÉUTICA ""LA QUINTA""","7846,91",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-04143806","ASOCIACIÓN NOESSO (NO ESTÁS SOLO)","CENTRO DE INFORMACIÓN, DIAGNÓSTICO Y TRATAMIENTO AMBULATORIO","7626,04",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-04143806","ASOCIACIÓN NOESSO (NO ESTÁS SOLO)","CENTRO DE DÍA EN-REDES","6957,37",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-79437349","ASOCIACIÓN PARA LA PROMOCIÓN Y GESTIÓN DE SERVICIOS SOCIALES, GENERALES Y ESPECIALIZADOS (PROGESTIÓN)","SERVICIO DE ESTABILIZACIÓN DE LA AUTONOMÍA PERSONAL ""MACADAM""","22842,94",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-79267936","ASOCIACIÓN PROYECTO HOMBRE","CENTRO DE DÍA","189232,6",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-79267936","ASOCIACIÓN PROYECTO HOMBRE","COMUNIDAD TERAPÉUTICA","257730,47",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-79267936","ASOCIACIÓN PROYECTO HOMBRE","REINSERCIÓN SOCIAL","161336,09",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-79267936","ASOCIACIÓN PROYECTO HOMBRE","ACOGIDA A FAMILIAS DE DROGODEPENDIENTES","90206,6",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-79267936","ASOCIACIÓN PROYECTO HOMBRE","PISOS DE ASISTENCIA Y REINSERCIÓN","72090,6",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-79267936","ASOCIACIÓN PROYECTO HOMBRE","CENTRO DE ACOGIDA RESIDENCIAL INMEDIATA","33923,97",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-79267936","ASOCIACIÓN PROYECTO HOMBRE","COMUNIDAD TERAPÉUTICA NO RESIDENCIAL","16430,29",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-79267936","ASOCIACIÓN PROYECTO HOMBRE","APOYO A CONSUMIDORES DE PSICOESTIMULANTES Y NUEVOS PATRONES DE CONSUMO","189538,75",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-79267936","ASOCIACIÓN PROYECTO HOMBRE","PROGRAMA INTEGRAL DE REDUCCIÓN DEL DAÑO","29155,84",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-79267936","ASOCIACIÓN PROYECTO HOMBRE","DESINTOXICACIÓN, DESHABITUACIÓN Y REINSERCIÓN SOCIAL PARA USUARIOS CON DEPENDENCIA ALCOHÓLICA","34502,4",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-79267936","ASOCIACIÓN PROYECTO HOMBRE","ATENCIÓN A MENORES Y JÓVENES DROGODEPENDIENTES","117672,14",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-79267936","ASOCIACIÓN PROYECTO HOMBRE","PROGRAMA TERAPÉUTICO-EDUCATIVO QUE FACILITA LA EDUCACIÓN E INSERCIÓN SOCIAL DE MUJERES CON O SIN HIJOS A SU CARGO","63396,53",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-79267936","ASOCIACIÓN PROYECTO HOMBRE","APOYO A PERSONAS CON PATOLOGÍA DUAL","34233,46",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-79186466","BASIDA","COMUNIDAD TERAPÉUTICA PARA DESINTOXICACIÓN, REHABILITACIÓN Y REINSERCIÓN SOCIAL DEL DROGODEPENDIENTE","25528,55",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","R-02800560-A","CÁRITAS ESPAÑOLA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","278318,24",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","R-07800985-I","COMPAÑÍA DE LAS HIJAS DE SAN VICENTE DE PAÚL. COMPAÑÍA DE ESPAÑA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL DE DROGODEPENDIENTES","12587,99",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-02159358","COMUNITÁ INCONTRO","CENTROS O SERVICIOS DE ACOGIDA INMEDIATA AL DROGODEPENDIENTE","16680,45",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-82115320","CONFEDERACIÓN DE ENTIDADES PARA LA ATENCIÓN A LAS ADICCIONES","CENTROS DE DÍA","133080,61",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-82115320","CONFEDERACIÓN DE ENTIDADES PARA LA ATENCIÓN A LAS ADICCIONES","COMUNIDAD TERAPÉUTICA","58826,34",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-28496131","CONFEDERACIÓN SINDICAL DE COMISIONES OBRERAS","C. A. I. D. (CENTROS SINDICALES DE ATENCIÓN INTEGRAL EN DROGODEPENDENCIAS). CENTROS SINDICALES DE INFORMACIÓN, ASESORAMIENTO, ACOGIDA Y REINSERCIÓN DE PERSONAS CON PROBLEMAS DE DEPENDENCIA DE ALCOHOL U OTRAS DROGAS","119267,91",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-11254018","COORDINADORA LINENSE CONTRA LA DROGODEPENDENCIA ""DESPIERTA""","SERVICIO DE INTERVENCIÓN TERAPÉUTICA (S.I.T.)","12787,33",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","V-11231842","COORDINADORA PARA LA PREVENCIÓN DE LAS DROGODEPENDENCIAS ""ABRIL""","DISPOSITIVO DE ATENCIÓN TERAPÉUTICA A DROGODEPENDIENTES (DAT)","11779,56",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","Q-02866001-G","CRUZ ROJA ESPAÑOLA","CENTROS DE ENCUENTRO Y ACOGIDA INMEDIATA. CENTROS DE EMERGENCIA SOCIAL","228952,25",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","Q-02866001-G","CRUZ ROJA ESPAÑOLA","MANTENIMIENTO CENTROS AMBULATORIOS","266085,57",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","Q-02866001-G","CRUZ ROJA ESPAÑOLA","CENTROS DE ACTIVIDADES","24963,86",,,
"PERSONAS CON DROGODEPENDENCIA","APOYO AL MANTENIMIENTO DE LOS RECURSOS ASISTENCIALES Y DE REINSERCIÓN SOCIOLABORAL","G-13251194","FUNDACIÓN CENTRO DE RECURSOS SOCIALES (CERES)","NORMALIZACIÓN PSICO-SOCIAL Y LABORAL DE ENFERMOS ALCOHÓLICOS","40766,17",,,
